File ID,Account,Date From,Date To,Bag Count,Amount Collected,Amount Due,Amount Retained,Create Date,Vendor Name,City,State,Zip code,Location1
95172,005094,9/1/2024,9/30/2024,613,30.65,24.52,6.13,10/7/2024,TABLETOP LLC,Takoma Park,MD,20912,"Takoma Park, MD 20912
(38.98126, -77.00988)"
95428,000501,9/1/2024,9/30/2024,15,0.75,0.6,0.15,10/18/2024,PEPE COBBLER'S BENCH,Bethesda,MD,20817,"Bethesda, MD 20817
(38.98443, -77.1209)"
95519,005223,9/1/2024,9/30/2024,485,24.25,19.4,4.85,10/24/2024,Doublemoon Inc,Clarksburg,MD,20871,"Clarksburg, MD 20871
(39.23842, -77.279)"
95197,000589,9/1/2024,9/30/2024,14574,728.7,582.96,145.74,10/9/2024,"Kohl's Department Stores, Inc.",,WI,53051,"WI 53051
(43.1731, -88.10368)"
95394,000240,9/1/2024,9/30/2024,14313,715.65,572.52,143.13,10/17/2024,Grosvenor Market,Rockville,MD,20852,"Rockville, MD 20852
(39.05652, -77.11419)"
95252,000306,9/1/2024,9/30/2024,175,8.75,7,1.75,10/12/2024,ELK Incorporated,Gaithersburg,MD,20882,"Gaithersburg, MD 20882
(39.25294, -77.20793)"
95315,005077,9/1/2024,9/30/2024,171,8.55,6.84,1.71,10/15/2024,Democracy Cafe Inc.,Bethesda,MD,20817,"Bethesda, MD 20817
(38.98443, -77.1209)"
95385,000623,9/1/2024,9/30/2024,32350,1617.5,1294,323.5,10/17/2024,Korean Korner Inc,Silver Spring,MD,20906,"Silver Spring, MD 20906
(39.06791, -77.06835)"
95143,000759,9/1/2024,9/30/2024,70,3.5,2.8,0.7,10/3/2024,E&G VENTURES LLC,Rockville,MD,20853,"Rockville, MD 20853
(39.07048, -77.09324)"
95484,004988,9/1/2024,9/30/2024,5253,262.65,210.12,52.53,10/21/2024,CHEESECAKE FACTORY RESTAURANTS,,CA,91301,"CA 91301
(34.14611, -118.77812)"
95465,000060,9/1/2024,9/30/2024,3119,155.95,124.76,31.19,10/21/2024,Bradley Food & Beverage Inc,Bethesda,MD,20814,"Bethesda, MD 20814
(38.992455, -77.099577)"
95518,003920,9/1/2024,9/30/2024,35943,1797.15,1437.72,359.43,10/24/2024,SEPHORA USA INC,,CA,94105,"CA 94105
(37.78907, -122.39493)"
95506,001473,9/1/2024,9/30/2024,199,9.95,7.96,1.99,10/22/2024,CHOP SHOP NEIGHBORHOOD BUTCHERY LLC,Bethesda,MD,20816,"Bethesda, MD 20816
(38.95687, -77.10253)"
95379,003943,9/1/2024,9/30/2024,532,26.6,21.28,5.32,10/17/2024,White Oak Dash In,Silver Spring,MD,20904,"Silver Spring, MD 20904
(39.06094, -76.95226)"
95278,005097,9/1/2024,9/30/2024,390,19.5,15.6,3.9,10/14/2024,URKAY LLC,Gaithersburg,MD,20877,"Gaithersburg, MD 20877
(39.14033, -77.19373)"
95251,005215,9/1/2024,9/30/2024,1342,67.1,53.68,13.42,10/11/2024,"Francesca's Operations, Inc.",Gaithersburg,MD,20878,"Gaithersburg, MD 20878
(39.12004, -77.23908)"
95314,005200,9/1/2024,9/30/2024,87,4.35,3.48,0.87,10/15/2024,ECCO RETAIL LLC,,NH,03079,"NH 03079
(42.78474, -71.21039)"
95318,001226,9/1/2024,9/30/2024,556,27.8,22.24,5.56,10/15/2024,S & S TRADERS INC,Rockville,MD,20852,"Rockville, MD 20852
(39.05652, -77.11419)"
