File ID,Account,Date From,Date To,Bag Count,Amount Collected,Amount Due,Amount Retained,Create Date,Vendor Name,City,State,Zip code,Location1
95419,3938,2024-09-01,2024-09-30,61,3.05,2.44,0.61,2024-10-18,MSK DELI INC,Rockville,MD,20850,"Rockville, MD 20850
(39.08196, -77.15118)"
95420,3949,2024-09-01,2024-09-30,32892,1644.6,1315.68,328.92,2024-10-18,L&T market Inc,Rockville,MD,20850,"Rockville, MD 20850
(39.08196, -77.15118)"
95150,3604,2024-09-01,2024-09-30,2614,130.7,104.56,26.14,2024-10-03,Taste of Europe Enterprises Inc,Gaithersburg,MD,20878,"Gaithersburg, MD 20878
(39.12004, -77.23908)"
95480,496,2024-09-01,2024-09-30,504,25.2,20.16,5.04,2024-10-21,SMSI INC.,Gaithersburg,MD,20877,"Gaithersburg, MD 20877
(39.14033, -77.19373)"
95348,5175,2024-09-01,2024-09-30,1462,73.1,58.48,14.62,2024-10-16,H&H Germantown LLC,Germantown,MD,20874,"Germantown, MD 20874
(39.18272, -77.27048)"
95516,250,2024-09-01,2024-09-30,177,8.85,7.08,1.77,2024-10-23,"Advance Stores Company, Incorporated",,VA,24012,"VA 24012
(37.31539, -79.94398)"
95499,1512,2024-09-01,2024-09-30,4180,209.0,167.2,41.8,2024-10-22,T-Mobile Northeast LLC,,WA,98006,"WA 98006
(47.55584, -122.12096)"
95422,1194,2024-09-01,2024-09-30,29332,1466.6,1173.28,293.32,2024-10-18,Great Wall Supermarket of Germantown Inc,Germantown,MD,20876,"Germantown, MD 20876
(39.18775, -77.23655)"
95528,225,2024-09-01,2024-09-30,265539,13276.95,10621.56,2655.39,2024-10-25,Wal-Mart Stores Inc,,AR,72716,"AR 72716
(36.36243, -94.18332)"
95485,5176,2024-09-01,2024-09-30,1119,55.95,44.76,11.19,2024-10-21,JFL Fox Chapel Inc,Germantown,MD,20876,"Germantown, MD 20876
(39.18775, -77.23655)"
95176,200,2024-09-01,2024-09-30,32331,1616.55,1293.24,323.31,2024-10-08,"Marshalls of MA, Inc",,MA,1701,"MA 01701
(42.30394, -71.40754)"
95206,1168,2024-09-01,2024-09-30,3633,181.65,145.32,36.33,2024-10-09,D. Mart Inc.,Takoma Park,MD,20912,"Takoma Park, MD 20912
(38.98126, -77.00988)"
95301,4977,2024-09-01,2024-09-30,23,1.15,0.92,0.23,2024-10-15,"PARS PETROL, LLC",Kensington,MD,20895,"Kensington, MD 20895
(39.02627, -77.07507)"
95369,551,2024-09-01,2024-09-30,30147,1507.35,1205.88,301.47,2024-10-17,Lotte Plaza,Silver Spring,MD,20906,"Silver Spring, MD 20906
(39.06791, -77.06835)"
95243,15,2024-09-01,2024-09-30,2440,122.0,97.6,24.4,2024-10-11,"SHOE SHOW, INC",,NC,28027,"NC 28027
(35.43581, -80.74013)"
95196,429,2024-09-01,2024-09-30,8831,441.55,353.24,88.31,2024-10-09,Rodmans Discount Food,Silver Spring,MD,20906,"Silver Spring, MD 20906
(39.06791, -77.06835)"
95261,4998,2024-09-01,2024-09-30,301,15.05,12.04,3.01,2024-10-13,Kusshi Ko LLC,Silver Spring,MD,20910,"Silver Spring, MD 20910
(38.99693, -77.02914)"
95456,3798,2024-09-01,2024-09-30,1245,62.25,49.8,12.45,2024-10-21,EAST ROCKVILLE SUNOCO INC,Rockville,MD,20853,"Rockville, MD 20853
(39.07048, -77.09324)"
95436,1372,2024-09-01,2024-09-30,103,5.15,4.12,1.03,2024-10-18,NIPAM CORP,Silver Spring,MD,20903,"Silver Spring, MD 20903
(39.01817, -76.97995)"
95181,5019,2024-09-01,2024-09-30,39,1.95,1.56,0.39,2024-10-08,GATEWAY KING INC.,Clarksburg,MD,20871,"Clarksburg, MD 20871
(39.23842, -77.279)"
95358,5171,2024-09-01,2024-09-30,1157,57.85,46.28,11.57,2024-10-16,STELLAS BAKERY INC,Rockville,MD,20852,"Rockville, MD 20852
(39.05652, -77.11419)"
95512,83,2024-09-01,2024-09-30,35062,1753.1,1402.48,350.62,2024-10-23,"Home Depot USA.,INC.",,GA,30339,"GA 30339
(33.88068, -84.45651)"
95285,302,2024-09-01,2024-09-30,3133,156.65,125.32,31.33,2024-10-14,DSW SHOE WAREHOUSE INC,,OH,43219,"OH 43219
(40.0266, -82.9181)"
95386,5153,2024-09-01,2024-09-30,2309,115.45,92.36,23.09,2024-10-17,Sheetz #783,,PA,16602,"PA 16602
(40.50733, -78.3991)"
95346,690,2024-09-01,2024-09-30,700,35.0,28.0,7.0,2024-10-16,HQJ INC,Silver Spring,MD,20906,"Silver Spring, MD 20906
(39.06791, -77.06835)"
95124,3649,2024-09-01,2024-09-30,695,34.75,27.8,6.95,2024-10-02,Tea Town III LLC,Gaithersburg,MD,20878,"Gaithersburg, MD 20878
(39.12004, -77.23908)"
95463,416,2024-09-01,2024-09-30,2399,119.95,95.96,23.99,2024-10-21,BRASAS INC,Silver Spring,MD,20906,"Silver Spring, MD 20906
(39.06791, -77.06835)"
95279,5096,2024-09-01,2024-09-30,340,17.0,13.6,3.4,2024-10-14,UK STORES LLC,Rockville,MD,20852,"Rockville, MD 20852
(39.05652, -77.11419)"
95417,1231,2024-09-01,2024-09-30,173,8.65,6.92,1.73,2024-10-18,"BUILD-A-BEAR WORKSHOP, INC.",,MO,63103,"MO 63103
(38.62775, -90.19956)"
95363,3953,2024-09-01,2024-09-30,8000,400.0,320.0,80.0,2024-10-16,"Lidl US Operations, LLC",Silver Spring,MD,20902,"Silver Spring, MD 20902
(39.04516, -77.05324)"
95495,274,2024-09-01,2024-09-30,557,27.85,22.28,5.57,2024-10-21,BEAUTY PLAZA,Rockville,MD,20851,"Rockville, MD 20851
(39.07699, -77.11784)"
95429,571,2024-09-01,2024-09-30,787,39.35,31.48,7.87,2024-10-18,Chong's Corporation,,VA,20151,"VA 20151
(38.88675, -77.43892)"
95443,3669,2024-09-01,2024-09-30,5486,274.3,219.44,54.86,2024-10-19,VF OUTDOOR INC,,NC,27408,"NC 27408
(36.11788, -79.79743)"
95248,178,2024-09-01,2024-09-30,49125,2456.25,1965.0,491.25,2024-10-11,FOOD LION LLC,,NC,28025,"NC 28025
(35.41043, -80.5812)"
95234,336,2024-09-01,2024-09-30,22,1.1,0.88,0.22,2024-10-11,Kensington Center LLC,Kensington,MD,20895,"Kensington, MD 20895
(39.02627, -77.07507)"
95274,4992,2024-09-01,2024-09-30,2662,133.1,106.48,26.62,2024-10-14,RED MAPLE ASSOCIATES LLC,Silver Spring,MD,20901,"Silver Spring, MD 20901
(39.02585, -77.01502)"
95415,305,2024-09-01,2024-09-30,1184,59.2,47.36,11.84,2024-10-18,Vace Inc,Bethesda,MD,20814,"Bethesda, MD 20814
(38.992455, -77.099577)"
95239,936,2024-09-01,2024-09-30,318,15.9,12.72,3.18,2024-10-11,Full Moon Inc,Bethesda,MD,20816,"Bethesda, MD 20816
(38.95687, -77.10253)"
95357,3698,2024-09-01,2024-09-30,256,12.8,10.24,2.56,2024-10-16,PASQUALE'S & SONS LLC,Damascus,MD,20872,"Damascus, MD 20872
(39.28758, -77.20138)"
